2026-03-02 09:38:17 cursor=151,437 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:18 cursor=602,452 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:19 cursor=853,508 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:20 cursor=1124,264 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:21 cursor=714,602 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:22 cursor=709,754 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:23 cursor=245,433 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:24 cursor=224,299 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:25 cursor=368,374 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:38:26 cursor=818,477 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
